OmaTunniste;OmaItä;OmaPohjoinen;Kunta;siteid;aika;vuosi;kk;paiva;longitude;latitude;t_mean;t_max;t_min;rainfall;radiation;hpa;;
;;;Rovaniemi;2890;19610609;1961;6;9;3485000;7365000;19.5;25.9;10.3;0;26545;12.01;;
;;;Rovaniemi;2890;19610610;1961;6;10;3485000;7365000;17.6;23.4;11.5;0;26133;13.35;;
;;;Rovaniemi;2890;19610611;1961;6;11;3485000;7365000;17;21.8;11.2;0;23254;10.29;;
;;;Rovaniemi;2890;19610612;1961;6;12;3485000;7365000;15.7;22;6.3;0;16292;11.07;;
;;;Rovaniemi;2890;19610613;1961;6;13;3485000;7365000;15.7;20.5;9.8;10;19918;14.36;;
;;;Rovaniemi;2890;19610614;1961;6;14;3485000;7365000;18.2;22.4;13.9;2;14884;16.01;;
;;;Rovaniemi;2890;19610615;1961;6;15;3485000;7365000;11.1;19.2;9.2;0;14987;9.56;;
;;;Rovaniemi;2890;19610616;1961;6;16;3485000;7365000;10.6;14.7;4.2;1;24332;8.36;;
;;;Rovaniemi;2890;19610617;1961;6;17;3485000;7365000;10.9;16.2;6.8;2;10837;11.59;;
;;;Rovaniemi;2890;19610618;1961;6;18;3485000;7365000;13.6;17.9;10.6;16;11597;13.3;;
;;;Rovaniemi;2890;19610619;1961;6;19;3485000;7365000;12.3;17.4;6;0;23945;8.81;;
;;;Rovaniemi;2890;19610620;1961;6;20;3485000;7365000;11.3;15.6;7.6;3;20039;8.72;;
;;;Rovaniemi;2890;19610621;1961;6;21;3485000;7365000;10.5;14.7;4.4;0;18667;8.16;;
;;;Rovaniemi;2890;19610622;1961;6;22;3485000;7365000;12.5;17.6;4.4;0;20162;8.76;;
;;;Rovaniemi;2890;19610623;1961;6;23;3485000;7365000;12;17.5;6.6;3;18334;10.52;;
;;;Rovaniemi;2890;19610624;1961;6;24;3485000;7365000;12.2;15.7;7.8;3;14339;11.91;;
;;;Rovaniemi;2890;19610625;1961;6;25;3485000;7365000;12.3;17.1;9.4;4;15301;11.95;;
;;;Rovaniemi;2890;19610626;1961;6;26;3485000;7365000;12.8;16.4;8.5;2;16598;11.66;;
;;;Rovaniemi;2890;19610627;1961;6;27;3485000;7365000;12.4;16.1;9.5;1;18835;10.73;;
;;;Rovaniemi;2890;19610628;1961;6;28;3485000;7365000;9.9;13.6;4.2;10;9687;11.84;;
;;;Rovaniemi;2890;19610629;1961;6;29;3485000;7365000;11.2;16.4;8.3;1;15998;10.62;;
;;;Rovaniemi;2890;19610630;1961;6;30;3485000;7365000;9.6;14;5.6;1;17289;8.31;;
;;;Rovaniemi;2890;19610701;1961;7;1;3485000;7365000;12.1;16.5;7;0;19507;8.45;;
;;;Rovaniemi;2890;19610702;1961;7;2;3485000;7365000;13.3;18.7;7.3;0;22750;9.68;;
;;;Rovaniemi;2890;19610703;1961;7;3;3485000;7365000;13.6;17.5;9.2;2;17404;10.56;;
;;;Rovaniemi;2890;19610704;1961;7;4;3485000;7365000;10.2;14.1;7.9;0;13897;10.12;;
;;;Rovaniemi;2890;19610705;1961;7;5;3485000;7365000;12.9;16.7;8.9;5;16168;11.03;;
;;;Rovaniemi;2890;19610706;1961;7;6;3485000;7365000;14.5;18.4;11.1;2;14196;12.68;;
;;;Rovaniemi;2890;19610707;1961;7;7;3485000;7365000;14.1;18.6;8.3;1;17189;11.91;;
;;;Rovaniemi;2890;19610708;1961;7;8;3485000;7365000;15;19.6;9.9;0;19259;11.45;;
;;;Rovaniemi;2890;19610709;1961;7;9;3485000;7365000;15.7;20.6;8.5;0;23642;10.5;;
;;;Rovaniemi;2890;19610710;1961;7;10;3485000;7365000;16.8;21.4;11.9;3;16466;13.07;;
;;;Rovaniemi;2890;19610711;1961;7;11;3485000;7365000;14.5;19.5;11.6;7;13091;14.75;;
;;;Rovaniemi;2890;19610712;1961;7;12;3485000;7365000;17.5;24.8;9.7;5;23783;14.56;;
;;;Rovaniemi;2890;19610713;1961;7;13;3485000;7365000;18.7;24.9;12.5;6;22302;15.89;;
;;;Rovaniemi;2890;19610714;1961;7;14;3485000;7365000;22.7;29;14;0;26351;15.8;;
;;;Rovaniemi;2890;19610715;1961;7;15;3485000;7365000;23.1;28.8;14.3;0;23138;15.51;;
;;;Rovaniemi;2890;19610716;1961;7;16;3485000;7365000;23.7;28.8;16.6;0;22595;14.94;;
;;;Rovaniemi;2890;19610717;1961;7;17;3485000;7365000;22.3;29;12.4;0;25042;15.06;;
